fileName,meta_tags,meta_keywords,max_keyword_length,min_keyword_length,descriptor_words,words_alt_images,avgNoOfWordsInLink,total_links,image_links,total_images,alt_images,div,paragraphs,tables,total_headings,link_headings,class
watch_tv_77.html,21,0,0,0,1,280,8.273684210526307,95,61,64,62,273,9,0,15,0,
watch_tv_78.html,40,0,0,0,1,67,32.506172839506185,243,30,38,20,154,23,0,16,3,
watch_tv_79.html,25,0,0,0,1,136,1.8279569892472989,279,10,48,48,335,348,3,29,0,
watch_tv_8.html,21,1,1,0,1,27,3.6973684210526256,76,6,7,6,112,6,0,6,0,
watch_tv_80.html,14,0,0,0,1,29,79.58152173913052,184,2,24,24,272,57,1,15,0,
watch_tv_81.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
watch_tv_82.html,14,0,0,0,1,4,93.13919413919443,273,0,3,3,196,48,0,32,22,
watch_tv_83.html,69,1,1,0,1,11,2.790055248618784,181,2,11,11,300,116,0,6,0,
watch_tv_84.html,15,1,1,0,1,74,129.80889621087317,607,19,26,25,908,38,1,38,1,
watch_tv_85.html,21,0,0,0,1,334,2.341666666666667,240,94,347,310,585,165,1,12,0,
watch_tv_86.html,28,0,0,0,1,20,2.526315789473682,76,6,19,8,61,25,0,11,0,
watch_tv_87.html,19,0,0,0,1,125,22.252244897959176,1225,14,33,33,142,63,3,30,0,
watch_tv_88.html,42,0,0,0,1,21,3.04301075268817,93,11,15,14,80,35,0,5,0,
watch_tv_89.html,19,0,0,0,1,370,4.358490566037739,106,20,78,74,55,67,1,27,0,
watch_tv_90.html,5,1,1,0,1,53,1.5681818181818172,44,18,33,33,212,2,0,2,0,
watch_tv_91.html,48,0,0,0,1,5,39.808000000000035,250,1,4,3,208,18,0,8,0,
watch_tv_92.html,18,0,0,0,1,125,4.333333333333332,75,14,24,11,111,35,0,6,0,
watch_tv_93.html,50,1,1,0,1,156,2.8835978835978833,189,4,8,6,122,21,0,17,0,
watch_tv_94.html,46,0,0,0,1,313,3.120689655172425,232,59,62,61,388,60,0,69,0,
watch_tv_95.html,6,0,0,0,0,6,3.2584269662921326,89,0,7,6,157,4,1,1,0,
watch_tv_96.html,2,0,0,0,0,5,8.752212389380515,113,9,20,5,329,2,2,7,0,
watch_tv_97.html,40,0,0,0,1,24,35.01754385964915,228,32,36,18,154,22,0,14,3,
watch_tv_98.html,33,0,0,0,1,125,2.8070175438596467,114,22,36,36,142,123,1,53,0,
watch_tv_99.html,40,0,0,0,1,80,33.76754385964916,228,26,36,19,153,19,0,16,3,
water_plants_0.html,25,0,0,0,1,66,3.8583333333333343,120,46,66,66,165,71,1,39,0,
water_plants_10.html,24,0,0,0,1,17,2.7142857142857126,119,16,17,13,161,22,0,7,0,
water_plants_100.html,18,0,0,0,1,57,2.65181058495821,359,12,37,33,365,0,0,32,0,
water_plants_101.html,19,0,0,0,1,131,3.3124999999999987,96,12,51,43,105,76,0,19,0,
water_plants_102.html,21,0,0,0,1,87,3.299065420560741,214,18,18,16,269,23,0,14,0,
water_plants_103.html,26,0,0,0,1,74,2.902173913043478,92,11,36,32,172,70,0,28,0,
water_plants_104.html,21,1,1,0,1,130,6.630952380952375,84,12,37,35,369,41,0,65,0,
water_plants_105.html,13,0,0,0,0,99,2.5477386934673336,199,7,13,13,247,61,0,25,0,
water_plants_106.html,26,0,0,0,1,145,2.8536585365853644,123,48,69,65,114,26,0,5,0,
water_plants_11.html,27,0,0,0,1,246,2.9411764705882306,170,56,59,42,434,22,0,16,0,
water_plants_110.html,21,0,0,0,1,94,2.5652173913043503,230,41,74,40,601,19,0,35,0,
water_plants_111.html,29,0,0,0,1,29,2.9596774193548403,124,8,11,10,135,29,0,29,2,
water_plants_112.html,57,0,0,0,2,77,2.6486486486486496,37,7,25,25,107,89,0,11,0,
water_plants_113.html,21,0,0,0,1,3,7.030303030303033,132,1,2,1,167,31,0,103,93,
water_plants_114.html,39,0,0,0,1,85,32.18333333333334,60,6,12,12,167,5,1,3,0,
water_plants_115.html,17,0,0,0,0,1,3.5346534653465373,202,2,2,1,89,4,0,4,0,
water_plants_116.html,19,0,0,0,1,198,3.0517241379310343,116,64,80,80,238,57,0,11,0,
water_plants_117.html,21,0,0,0,1,83,2.2245989304812794,374,22,50,48,196,94,1,52,21,
water_plants_118.html,17,0,0,0,1,200,3.754545454545457,110,24,34,32,78,67,0,39,0,
water_plants_119.html,18,1,1,0,1,2,62.21671018276772,383,80,82,1,657,20,0,154,36,
water_plants_12.html,20,0,0,0,1,103,11.30263157894736,228,39,43,42,268,69,0,127,8,
water_plants_120.html,23,0,0,0,1,104,129.91079812206598,213,20,20,20,235,28,0,44,0,
water_plants_13.html,13,0,0,0,1,103,2.625603864734309,414,27,31,16,189,11,0,41,0,
water_plants_131.html,10,0,0,0,1,22,2.3333333333333317,90,10,14,14,61,23,2,6,0,
water_plants_133.html,36,1,1,0,1,77,3.4052287581699283,153,23,32,32,223,13,0,3,0,
water_plants_135.html,10,0,0,0,1,60,5.721739130434783,115,12,18,18,103,65,0,37,0,
